XM_045863695.1	Mirounga angustirostris
LC812915.1	Lampanyctus acanthurus
LC812913.1	Tarletonbeania crenularis
LC812912.1	Diaphus garmani
LC812911.1	Stenobrachius leucopsarus
LC812910.1	Bathylagus pacificus
LC812909.1	Scopelosaurus harryi
LC812908.1	Ceratoscopelus warmingii
LC812906.1	Acanthopagrus latus
LC812905.1	Scatophagus argus
LC812904.1	Parapristipoma trilineatum
MK838480.1	Cynoglossus joyneri
MK838479.1	Cynoglossus joyneri
MK838478.1	Cynoglossus joyneri
MK838477.1	Cynoglossus joyneri
MK838476.1	Cynoglossus joyneri
MK838475.1	Cynoglossus joyneri
OR805168.1	Sphyraena qenie
OR805167.1	Sphyraena guachancho
OR805166.1	Sphyraena ensis
OR805164.1	Sphyraena barracuda
OR805163.1	Centropomus unionensis
OR805162.1	Centropomus undecimalis
OR805160.1	Centropomus medius
OR805159.1	Centropomus ensiferus
OR805158.1	Centropomus armatus
LC578958.2	Dasyscopelus asper
LC578957.2	Myctophum nitidulum
LC578955.2	Diaphus gigas
LC578954.2	Lampadena yaquinae
LC578953.2	Symbolophorus californiensis
LC811635.1	Symbolophorus californiensis
LC811634.1	Lampanyctus jordani
LC811633.1	Nannobrachium regale
LC811632.1	Lampanyctus acanthurus
LC811631.1	Protomyctophum thompsoni
LC811630.1	Hygophum reinhardtii
LC811629.1	Dasyscopelus asper
PP620801.1	Cottus cognatus
PP620799.1	Anguilla rostrata
PP620795.1	Alosa sapidissima
XM_064439235.1	Phalacrocorax carbo
XM_064460242.1	Phalacrocorax carbo
XM_064459830.1	Phalacrocorax carbo
XM_064459369.1	Phalacrocorax carbo
XM_064457922.1	Phalacrocorax carbo
XM_009507748.2	Phalacrocorax carbo
XM_064452830.1	Phalacrocorax carbo
XM_064452829.1	Phalacrocorax carbo
XM_064450698.1	Phalacrocorax carbo
XM_064446156.1	Phalacrocorax carbo
XM_064446154.1	Phalacrocorax carbo
XM_064471604.1	Phalacrocorax carbo
XM_064442204.1	Phalacrocorax carbo
XM_064467702.1	Phalacrocorax carbo
XM_064467701.1	Phalacrocorax carbo
XM_064467386.1	Phalacrocorax carbo
XM_064466869.1	Phalacrocorax carbo
XM_064463515.1	Phalacrocorax carbo
XM_064463514.1	Phalacrocorax carbo
XM_064472713.1	Phalacrocorax carbo
XM_064467388.1	Phalacrocorax carbo
XM_064467378.1	Phalacrocorax carbo
XM_064467370.1	Phalacrocorax carbo
XM_064467360.1	Phalacrocorax carbo
XM_064467351.1	Phalacrocorax carbo
XM_064467343.1	Phalacrocorax carbo
XM_064467333.1	Phalacrocorax carbo
XM_064467325.1	Phalacrocorax carbo
XM_064451942.1	Phalacrocorax carbo
XM_064449818.1	Phalacrocorax carbo
LC762646.1	Inu koma
LC492398.1	Evynnis tumifrons
LC277866.1	Doboatherina woodwardi
LC036860.1	Evynnis tumifrons
AB972235.1	Evynnis tumifrons
XM_064316420.1	Anguilla rostrata
XM_064316419.1	Anguilla rostrata
XM_064316418.1	Anguilla rostrata
XM_064313579.1	Anguilla rostrata
XM_064313578.1	Anguilla rostrata
XM_064310979.1	Anguilla rostrata
XM_064306000.1	Anguilla rostrata
XM_064303608.1	Anguilla rostrata
XM_064303607.1	Anguilla rostrata
XM_064303424.1	Anguilla rostrata
XM_064303141.1	Anguilla rostrata
XM_064303140.1	Anguilla rostrata
XM_064302590.1	Anguilla rostrata
XM_064302589.1	Anguilla rostrata
XM_064299418.1	Anguilla rostrata
XM_064299417.1	Anguilla rostrata
XM_064296819.1	Anguilla rostrata
XM_064296817.1	Anguilla rostrata
XM_064296816.1	Anguilla rostrata
XM_064352272.1	Anguilla rostrata
XM_064351459.1	Anguilla rostrata
XM_064351458.1	Anguilla rostrata
XM_064348426.1	Anguilla rostrata
XM_064343218.1	Anguilla rostrata
XM_064342398.1	Anguilla rostrata
XM_064342397.1	Anguilla rostrata
XM_064335779.1	Anguilla rostrata
XM_064335778.1	Anguilla rostrata
XM_064335777.1	Anguilla rostrata
XM_064327768.1	Anguilla rostrata
XM_064324207.1	Anguilla rostrata
XM_064303539.1	Anguilla rostrata
XM_064330130.1	Anguilla rostrata
XM_064351869.1	Anguilla rostrata
XM_064320339.1	Anguilla rostrata
PP564847.1	Phalacrocorax fuscicollis
LC708233.1	Rhina ancylostomus
LC645271.1	Parascombrops serratospinosus
LC579110.1	Parascombrops serratospinosus
LC474241.1	Paragobiodon melanosoma
LC385278.1	Pennahia aneus
AB938113.1	Rhina ancylostomus
LC806060.1	Diaphus kuroshio
LC806059.1	Hyporhamphus yuri
LC026565.1	Dasyscopelus spinosus
LC805237.1	Polyipnus matsubarai
LC805236.1	Desmodema polystictum
PP481391.1	Stolephorus commersonnii
LC720447.1	Inu ama
LC496248.2	Inu ama
LC579242.1	Inu ama
LC579241.1	Inu ama
LC579240.1	Inu ama
LC579239.1	Inu ama
LC578985.1	Scopeloberyx rossicus
LC499434.1	Inu ama
LC492399.1	Dentex hypselosomus
LC146339.1	Scopeloberyx rossicus
LC804449.1	Pollichthys mauli
LC804448.1	Scopeloberyx rossicus
LC804447.1	Aldrovandia affinis
LC499160.1	Moolgarda perusii
LC145979.2	Protomyctophum crockeri
LC801340.1	Bassozetus zenkevitchi
LC801339.1	Omobranchus elegans
LC749804.1	Hoplunnis tenuis
LC800339.1	Coelorinchus kishinouyei
LC800338.1	Neoscopelus microchir
LC800337.1	Hymenocephalus striatissimus
LC800336.1	Hymenocephalus striatissimus
LC800335.1	Hymenocephalus striatissimus
LC800334.1	Poecilopsetta plinthus
LC800333.1	Gadomus colletti
OR661208.1	Polymixia carmenae
OR661207.1	Polymixia carmenae
OR661206.1	Polymixia carmenae
OR661205.1	Polymixia carmenae
XM_063319762.1	Chroicocephalus ridibundus
XM_063346971.1	Chroicocephalus ridibundus
XM_063341941.1	Chroicocephalus ridibundus
XM_063341940.1	Chroicocephalus ridibundus
XM_063339007.1	Chroicocephalus ridibundus
XM_063339006.1	Chroicocephalus ridibundus
